Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program,Interview,Course,Remarks
Elise Zimmerman,Harvard University USA,1,84,BS Computer Science,BS Biology,1,,
Desmond Wong,Harvard University USA,1,68,BS Psychology,BS Accountancy,1,,
Harper Bishop,Stanford University USA,1,90,BSED Mathematics,BS Civil Engineering,1,,
Xavier Roth,Stanford University USA,1,79,BS Criminology,BS Information Technology,1,,
Elena Vargas,Harvard University USA,1,63,BS Computer Science,BS Biology,1,,
Garrett Fuller,Harvard University USA,1,91,BS Psychology,BS Accountancy,1,,
Juniper Patel,Stanford University USA,1,77,BSED Mathematics,BS Civil Engineering,1,,
Tristan Shepard,Stanford University USA,1,55,BS Criminology,BS Information Technology,1,,
Eloise Kim,Massachusetts Institute of Technology (MIT) USA,1,86,BS Computer Science,BS Biology,1,,
Roman Sullivan,Harvard University USA,1,82,BS Psychology,BS Accountancy,1,,
Aurora Santos,Stanford University USA,1,59,BSED Mathematics,BS Civil Engineering,1,,
Atticus Hawkins,Stanford University USA,1,94,BS Criminology,BS Information Technology,1,,
Juliette Ruiz,Harvard University USA,1,83,BS Computer Science,BS Biology,1,,
Finnegan Schultz,Harvard University USA,1,62,BS Psychology,BS Accountancy,1,,
Cassandra Graham,Stanford University USA,1,85,BSED Mathematics,BS Civil Engineering,1,,
Silas Flynn,Harvard University USA,1,79,BS Criminology,BS Information Technology,1,,
Kiera Holland,Harvard University USA,1,63,BS Computer Science,BS Biology,1,,
Ezekiel Cameron,Harvard University USA,1,91,BS Psychology,BS Accountancy,1,,
Adrianna Novak,Massachusetts Institute of Technology (MIT) USA,1,77,BSED Mathematics,BS Civil Engineering,1,,
Wesley Carr,Harvard University USA,0,55,BS Criminology,BS Information Technology,1,,
Serenity Heath,Stanford University USA,0,86,BS Computer Science,BS Biology,1,,
Bryce Harrington,Harvard University USA,0,82,BS Psychology,BS Accountancy,1,,
Paisley Delgado,Massachusetts Institute of Technology (MIT) USA,0,59,BSED Mathematics,BS Civil Engineering,1,,
Jonah Weiss,Harvard University USA,0,94,BS Criminology,BS Information Technology,1,,
Sienna Vega,Harvard University USA,0,83,BS Computer Science,BS Biology,1,,
Zachary O'Connell,Stanford University USA,0,62,BS Psychology,BS Accountancy,1,,
Gabrielle Pena,Harvard University USA,0,85,BSED Mathematics,BS Civil Engineering,1,,
Grady McLaughlin,Harvard University USA,0,88,BS Criminology,BS Information Technology,1,,
Amara Soto,Stanford University USA,0,70,BS Computer Science,BS Biology,1,,
Jaxon Rojas,Stanford University USA,0,95,BS Psychology,BS Accountancy,1,,
Leilani Chambers,Harvard University USA,0,80,BSED Mathematics,BS Civil Engineering,1,,
Sawyer Yu,Stanford University USA,0,65,BS Criminology,BS Information Technology,1,,
Anaya Fitzgerald,Harvard University USA,0,92,BS Computer Science,BS Biology,1,,
Tucker Chan,Stanford University USA,0,78,BS Psychology,BS Accountancy,1,,
Adelaide Macias,Harvard University USA,0,60,BSED Mathematics,BS Civil Engineering,1,,
Kaden Ho,Harvard University USA,0,87,BS Criminology,BS Information Technology,1,,
Lillian Maldonado,Stanford University USA,0,84,BS Computer Science,BS Biology,1,,
Rylan Pritchard,Harvard University USA,0,68,BS Psychology,BS Accountancy,1,,
Marina Boone,Harvard University USA,0,90,BSED Mathematics,BS Civil Engineering,1,,
Corbin Cabrera,Massachusetts Institute of Technology (MIT) USA,0,79,BS Criminology,BS Information Technology,1,,
Genevieve Rivas,University of Oxford UK,0,63,BS Computer Science,BS Biology,1,,
Beckham Mahoney,Harvard University USA,0,91,BS Psychology,BS Accountancy,1,,
Evangeline Crosby,Harvard University USA,0,77,BSED Mathematics,BS Civil Engineering,1,,
Solomon Kerr,Harvard University USA,0,55,BS Criminology,BS Information Technology,1,,
Athena Wu,Massachusetts Institute of Technology (MIT) USA,0,86,BS Computer Science,BS Biology,1,,
Keegan Daugherty,Massachusetts Institute of Technology (MIT) USA,0,82,BS Psychology,BS Accountancy,1,,
Madeleine Yu,Harvard University USA,0,59,BSED Mathematics,BS Civil Engineering,1,,
Matthias O'Neill,California Institute of Technology (Caltech) USA,0,94,BS Criminology,BS Information Technology,1,,
Nova Cantu,Harvard University USA,0,83,BS Computer Science,BS Biology,1,,
Orlando Valencia,Harvard University USA,0,62,BS Psychology,BS Accountancy,1,,
Camilla Page,Harvard University USA,0,85,BSED Mathematics,BS Civil Engineering,1,,
Greyson Montoya,University of Oxford UK,0,92,BS Criminology,BS Information Technology,1,,
Luciana Key,Harvard University USA,0,78,BS Computer Science,BS Biology,1,,
Kellan Macdonald,Harvard University USA,0,60,BS Psychology,BS Accountancy,1,,
Camille Conrad,California Institute of Technology (Caltech) USA,0,87,BSED Mathematics,BS Civil Engineering,1,,
Lachlan Bolton,Imperial College London UK,0,84,BS Criminology,BS Information Technology,1,,
Giselle Hanna,University of Oxford UK,0,68,BS Computer Science,BS Biology,1,,
Callum Bender,Harvard University USA,0,90,BS Psychology,BS Accountancy,1,,
Ember Rivera,Harvard University USA,0,79,BSED Mathematics,BS Civil Engineering,1,,
Clark Stanton,Stanford University USA,0,63,BS Criminology,BS Information Technology,1,,
Summer Floyd,Stanford University USA,0,91,BS Computer Science,BS Biology,1,,
Elliot Villegas,Harvard University USA,0,77,BS Psychology,BS Accountancy,1,,
Marley Acevedo,University of Oxford UK,0,55,BSED Mathematics,BS Civil Engineering,1,,
Nixon Bradshaw,Harvard University USA,0,86,BS Criminology,BS Information Technology,1,,
Cecilia Ochoa,Massachusetts Institute of Technology (MIT) USA,0,82,BS Computer Science,BS Biology,1,,
Kyrie Potts,University of Oxford UK,0,59,BS Psychology,BS Accountancy,1,,
Francesca Gillespie,Harvard University USA,0,94,BSED Mathematics,BS Civil Engineering,1,,
Lawrence Proctor,Harvard University USA,0,83,BS Criminology,BS Information Technology,1,,
Jocelyn Pacheco,Stanford University USA,0,62,BS Computer Science,BS Biology,1,,
Heath Weiss,Stanford University USA,0,85,BS Psychology,BS Accountancy,1,,
Celeste Hendricks,Stanford University USA,0,88,BSED Mathematics,BS Civil Engineering,1,,
Konnor Dorsey,Stanford University USA,0,70,BS Criminology,BS Information Technology,1,,
Raquel Sheppard,Stanford University USA,1,95,BS Computer Science,BS Biology,1,,
Alessandro Cartwright,Harvard University USA,1,80,BS Psychology,BS Accountancy,1,,
Juno Rangel,Stanford University USA,1,65,BSED Mathematics,BS Civil Engineering,1,,
Carlisle Hendrix,Stanford University USA,1,92,BS Criminology,BS Information Technology,1,,
Roselyn Sheppard,Harvard University USA,1,78,BS Computer Science,BS Biology,1,,
Cullen Dunlap,Harvard University USA,1,60,BS Computer Science,BS Accountancy,1,,
Dahlia Ritter,University of Oxford UK,1,87,BS Computer Science,BS Civil Engineering,1,,
Jedidiah Rasmussen,Stanford University USA,1,84,BS Computer Science,BS Information Technology,1,,
Aisha Olsen,Massachusetts Institute of Technology (MIT) USA,1,68,BS Computer Science,BS Biology,1,,
Stefan Medina,Harvard University USA,1,90,BS Computer Science,BS Accountancy,1,,
Reyna Bender,Harvard University USA,1,79,BS Computer Science,BS Civil Engineering,1,,
Trenton Townsend,Harvard University USA,1,63,BS Computer Science,BS Information Technology,1,,
Ingrid Huber,Stanford University USA,1,91,BS Computer Science,BS Biology,1,,
Anders Cuevas,Stanford University USA,1,77,BS Computer Science,BS Accountancy,1,,
Noelle Shea,Harvard University USA,1,55,BS Computer Science,BS Civil Engineering,1,,
Emery Cooley,Harvard University USA,1,86,BS Computer Science,BS Information Technology,1,,
Kyla Huerta,Harvard University USA,1,82,BS Computer Science,BS Biology,1,,
Declan Donovan,University of Oxford UK,1,59,BS Computer Science,BS Accountancy,1,,
Annabelle Huang,Stanford University USA,1,94,BS Computer Science,BS Civil Engineering,1,,
Phoenix Chang,Harvard University USA,1,83,BS Computer Science,BS Information Technology,1,,
Zachariah Patel,Stanford University USA,1,62,BS Computer Science,BS Biology,1,,
Marlowe Tran,University of Cambridge UK,1,60,BS Computer Science,BS Accountancy,1,,
Kellan Fitzgerald,Harvard University USA,1,87,BS Computer Science,BS Civil Engineering,1,,
Eliza Werner,University of Oxford UK,1,84,BS Computer Science,BS Information Technology,1,,
Darian Ortiz,Harvard University USA,1,68,BS Computer Science,BS Biology,1,,
Adeline Monroe,Harvard University USA,1,90,BS Computer Science,BS Accountancy,1,,
Rafaela Bishop,Stanford University USA,1,79,BS Computer Science,BS Civil Engineering,1,,
Kian O'Malley,Stanford University USA,1,63,BS Computer Science,BS Information Technology,1,,
Mira Santiago,Harvard University USA,1,91,BS Computer Science,BS Biology,1,,
Alaric Jefferson,Stanford University USA,1,77,BS Computer Science,BS Accountancy,1,,
Vienna Park,Massachusetts Institute of Technology (MIT) USA,1,55,BS Computer Science,BS Civil Engineering,1,,
Nikolai Pritchard,Stanford University USA,1,86,BS Computer Science,BS Information Technology,1,,
Raina Espinoza,Harvard University USA,1,82,BS Computer Science,BS Biology,1,,
Emmett Bradford,Stanford University USA,1,59,BS Computer Science,BS Accountancy,1,,
Gwendolyn Shea,Stanford University USA,1,94,BS Computer Science,BS Civil Engineering,1,,
Anders Rosales,Harvard University USA,1,83,BS Computer Science,BS Information Technology,1,,
Zara Cantrell,Stanford University USA,1,62,BS Computer Science,BS Biology,1,,
Kyson McCall,Harvard University USA,1,85,BS Computer Science,BS Accountancy,1,,
Cassandra Zhang,Harvard University USA,1,88,BS Computer Science,BS Civil Engineering,1,,
Jayleen Huang,University of Oxford UK,1,70,BS Computer Science,BS Information Technology,1,,
Bowen Griffin,Harvard University USA,1,95,BS Computer Science,BS Biology,1,,
Perla Hawkins,Harvard University USA,1,80,BS Computer Science,BS Accountancy,1,,
Kaison Yu,University of Cambridge UK,0,65,BS Computer Science,BS Civil Engineering,1,,
Margot Davenport,University of Oxford UK,0,92,BS Computer Science,BS Information Technology,1,,
Jett Haas,Harvard University USA,0,78,BS Computer Science,BS Biology,1,,
Ember Hendricks,Harvard University USA,0,60,BS Computer Science,BS Accountancy,1,,
Zainab Archer,Harvard University USA,0,87,BS Computer Science,BS Civil Engineering,1,,
Alessio Valencia,Stanford University USA,0,84,BS Computer Science,BS Information Technology,1,,
Maritza Duarte,Stanford University USA,0,68,BS Computer Science,BS Biology,1,,
Sterling Carlson,Harvard University USA,0,90,BS Computer Science,BS Accountancy,1,,
Aviana Ho,Stanford University USA,0,79,BS Computer Science,BS Civil Engineering,1,,
Bodhi O'Donnell,Harvard University USA,0,63,BS Computer Science,BS Information Technology,1,,
Elianna Velez,Stanford University USA,0,91,BS Computer Science,BS Biology,1,,
Yael Levy,Stanford University USA,0,77,BS Computer Science,BS Accountancy,1,,
Orion Escobar,Stanford University USA,0,55,BS Computer Science,BS Civil Engineering,1,,
Callie Werner,Stanford University USA,0,86,BS Computer Science,BS Information Technology,1,,
Landen Ritter,Harvard University USA,0,82,BS Computer Science,BS Biology,1,,
Amalia Friedman,Stanford University USA,0,59,BS Computer Science,BS Accountancy,1,,
Thaddeus Donovan,University of Oxford UK,0,94,BS Computer Science,BS Civil Engineering,1,,
Sariyah Yu,Stanford University USA,0,83,BS Computer Science,BS Information Technology,1,,
Corey Hutchinson,Stanford University USA,0,62,BS Computer Science,BS Biology,1,,
Lina Foley,Harvard University USA,0,85,BS Computer Science,BS Accountancy,1,,
Koda McConnell,Harvard University USA,0,97,BS Computer Science,BS Civil Engineering,1,,
Emberly Frye,Harvard University USA,0,79,BS Computer Science,BS Information Technology,1,,
Bruno Boone,Harvard University USA,0,92,BS Computer Science,BS Biology,1,,
Alia Waller,Harvard University USA,0,78,BS Computer Science,BS Accountancy,1,,
Landry McPherson,Stanford University USA,0,60,BS Computer Science,BS Civil Engineering,1,,
Leighton Foley,University of Oxford UK,0,87,BS Computer Science,BS Information Technology,1,,
Elinor Melendez,Harvard University USA,0,84,BS Computer Science,BS Biology,1,,
Aryan Serrano,Harvard University USA,0,68,BS Computer Science,BS Criminology,1,,
Elyse Rubio,Harvard University USA,0,90,BS Computer Science,BS Computer Science,1,,
Omari Nicholson,Harvard University USA,0,79,BS Computer Science,BS Psychology,1,,
Alaya Lozano,Stanford University USA,0,63,BS Computer Science,BSED Mathematics,1,,
Ephraim Sweeney,Harvard University USA,0,91,BS Computer Science,BS Criminology,1,,
Lilith Nguyen,Harvard University USA,0,77,BS Computer Science,BS Computer Science,1,,
Bronson Mullen,Harvard University USA,0,55,BS Computer Science,BS Psychology,1,,
Meredith Velasquez,Stanford University USA,0,86,BS Computer Science,BSED Mathematics,1,,
Zayden Donovan,Stanford University USA,0,82,BS Computer Science,BS Criminology,1,,
Annalise Yu,Harvard University USA,0,59,BS Computer Science,BS Computer Science,1,,
Brett Castillo,Harvard University USA,0,94,BS Computer Science,BS Psychology,1,,
Kamryn Gallegos,Stanford University USA,0,83,BS Computer Science,BSED Mathematics,1,,
Neymar Carpenter,Stanford University USA,0,62,BS Computer Science,BS Criminology,1,,
Milani Eaton,Massachusetts Institute of Technology (MIT) USA,0,85,BS Computer Science,BS Computer Science,1,,
Dorian Pineda,Harvard University USA,0,88,BS Computer Science,BS Psychology,1,,
Maisie Santana,Stanford University USA,0,70,BS Computer Science,BSED Mathematics,1,,
Royce Sheppard,Stanford University USA,0,95,BS Computer Science,BS Criminology,1,,
Aiyana Huber,Harvard University USA,0,80,BS Computer Science,BS Computer Science,1,,
Lucien Mercer,Harvard University USA,0,65,BS Computer Science,BS Psychology,1,,
Kaitlyn O'Connell,Stanford University USA,0,92,BS Computer Science,BSED Mathematics,1,,
Heath Garrison,Harvard University USA,0,78,BS Computer Science,BS Criminology,1,,
Amina Werner,Harvard University USA,0,60,BS Computer Science,BS Computer Science,1,,
Kylan Proctor,Harvard University USA,0,87,BS Computer Science,BS Psychology,1,,
Iliana Bartlett,Massachusetts Institute of Technology (MIT) USA,0,84,BS Computer Science,BSED Mathematics,1,,
Davian Stokes,Harvard University USA,0,68,BS Computer Science,BS Criminology,1,,
Alessandra Holland,Stanford University USA,0,90,BS Computer Science,BS Computer Science,1,,
Yahir Mercer,Harvard University USA,0,79,BS Computer Science,BS Psychology,1,,
Mariam French,Massachusetts Institute of Technology (MIT) USA,0,63,BS Computer Science,BSED Mathematics,1,,
Rayden Haas,Harvard University USA,0,91,BS Computer Science,BS Criminology,0,,
Saanvi Dawson,Harvard University USA,0,77,BS Computer Science,BS Computer Science,0,,
Zavier Pruitt,Stanford University USA,0,55,BS Computer Science,BS Psychology,0,,
Maren Ayers,Harvard University USA,0,86,BS Computer Science,BSED Mathematics,0,,
Alonzo Werner,Harvard University USA,0,82,BS Computer Science,BS Criminology,0,,
Aryanna Chang,Stanford University USA,0,59,BS Computer Science,BS Computer Science,0,,
Kannon Maldonado,Stanford University USA,0,94,BS Computer Science,BS Psychology,0,,
Arlette Carpenter,Harvard University USA,0,83,BS Computer Science,BSED Mathematics,1,,
Kyree Hendricks,Stanford University USA,0,62,BS Computer Science,BS Criminology,1,,
Daphne Stuart,Harvard University USA,0,60,BS Computer Science,BS Computer Science,1,,
Boone McDowell,Stanford University USA,0,87,BS Computer Science,BS Psychology,1,,
Ramona Donovan,Harvard University USA,0,84,BS Computer Science,BSED Mathematics,1,,
Jadiel Stanton,Harvard University USA,0,68,BS Computer Science,BS Criminology,1,,
Veda Moyer,Stanford University USA,0,90,BSED Mathematics,BS Computer Science,1,,
Valentino French,Harvard University USA,0,79,BS Criminology,BS Psychology,1,,
Amayah Werner,Harvard University USA,0,63,BS Computer Science,BSED Mathematics,1,,
Nikolai Rollins,Massachusetts Institute of Technology (MIT) USA,0,91,BS Psychology,BS Criminology,1,,
Lillianna Ho,University of Oxford UK,0,77,BSED Mathematics,BS Computer Science,1,,
Ramonita Deleon,Harvard University USA,0,55,BS Criminology,BS Psychology,1,,
Trace Haas,Harvard University USA,0,86,BS Computer Science,BSED Mathematics,1,,
Amara Rocha,Harvard University USA,0,82,BS Psychology,BS Criminology,1,,
Jovani Wong,Massachusetts Institute of Technology (MIT) USA,0,59,BSED Mathematics,BS Computer Science,1,,
Analia Baxter,Massachusetts Institute of Technology (MIT) USA,0,94,BS Criminology,BS Psychology,1,,
Enoch Zimmerman,Harvard University USA,0,83,BS Computer Science,BSED Mathematics,1,,
Elina Duarte,California Institute of Technology (Caltech) USA,0,62,BS Psychology,BS Criminology,1,,
Karsyn Barrera,Harvard University USA,0,85,BSED Mathematics,BS Computer Science,1,,
Raylan Levy,Harvard University USA,0,88,BS Criminology,BS Psychology,1,,
Zaynab Werner,Harvard University USA,0,70,BS Computer Science,BSED Mathematics,1,,
Gianluca Kent,University of Oxford UK,0,95,BS Psychology,BS Criminology,1,,
Lilian McKay,Harvard University USA,0,80,BSED Mathematics,BS Computer Science,1,,
Yahya Stuart,Harvard University USA,0,65,BS Criminology,BS Psychology,0,,
Emory Buckley,California Institute of Technology (Caltech) USA,0,92,BS Computer Science,BSED Mathematics,0,,
Emilee Carrillo,Imperial College London UK,0,78,BS Psychology,BS Criminology,0,,
Imran Yu,University of Oxford UK,0,60,BSED Mathematics,BS Computer Science,0,,
Anais Esparza,Harvard University USA,0,87,BS Criminology,BS Psychology,0,,
Korbin Werner,Harvard University USA,0,84,BS Computer Science,BSED Mathematics,0,,
Kayley Nixon,Stanford University USA,0,68,BS Psychology,BS Criminology,0,,
Daxton Rosario,Stanford University USA,0,90,BSED Mathematics,BS Computer Science,0,,
Anabella Hensley,Harvard University USA,0,79,BS Criminology,BS Psychology,0,,
Franco Pace,University of Oxford UK,0,63,BS Computer Science,BSED Mathematics,0,,
Lilah Andrade,Harvard University USA,0,91,BS Psychology,BS Criminology,0,,
Kamdyn Werner,Massachusetts Institute of Technology (MIT) USA,0,77,BSED Mathematics,BS Computer Science,0,,
Faye Mathews,University of Oxford UK,0,55,BS Criminology,BS Psychology,0,,
Kolten Hess,Harvard University USA,0,86,BS Computer Science,BSED Mathematics,0,,
Armani Stanton,Harvard University USA,0,82,BS Psychology,BS Criminology,0,,
Emani Hebert,Stanford University USA,0,59,BSED Mathematics,BS Computer Science,0,,
Brice Vang,Stanford University USA,0,94,BS Criminology,BS Psychology,0,,
Yoselin Snow,Stanford University USA,0,83,BS Computer Science,BSED Mathematics,0,,
Bradyn Poole,Stanford University USA,0,62,BS Psychology,BS Criminology,0,,
Jurnee Mckinney,Stanford University USA,0,85,BSED Mathematics,BS Computer Science,0,,
Darian Stanton,Harvard University USA,0,97,BS Criminology,BS Psychology,0,,
Magdalena O'Connell,Stanford University USA,0,79,BS Computer Science,BSED Mathematics,0,,
Alexzander Booth,Stanford University USA,0,92,BS Psychology,BS Criminology,1,,
Ayden Friedman,Harvard University USA,0,78,BSED Mathematics,BS Computer Science,1,,
Cambria Levine,Harvard University USA,0,60,BS Criminology,BS Psychology,1,,
Kylan Crosby,University of Oxford UK,0,87,BS Computer Science,BSED Mathematics,1,,
Brynley Yu,Stanford University USA,0,84,BS Psychology,BS Criminology,1,,
Zavier Yu,Massachusetts Institute of Technology (MIT) USA,0,68,BSED Mathematics,BS Computer Science,1,,
Kylah Erickson,Harvard University USA,0,90,BS Criminology,BS Psychology,1,,
Kaison Yu,Harvard University USA,0,79,BS Computer Science,BSED Mathematics,1,,
Adalynn Werner,Harvard University USA,0,63,BS Psychology,BS Criminology,1,,
Kylan Stafford,Stanford University USA,0,91,BSED Mathematics,BS Computer Science,1,,
Charleigh Randolph,Stanford University USA,0,77,BS Criminology,BS Psychology,1,,
Zyaire Cantu,Harvard University USA,0,55,BS Computer Science,BSED Mathematics,1,,
Mckinley Harding,Harvard University USA,0,86,BS Psychology,BS Criminology,1,,
Jazmin Mclean,Harvard University USA,0,82,BSED Mathematics,BS Computer Science,1,,
Rayne Ho,University of Oxford UK,0,59,BS Criminology,BS Psychology,1,,
Emory Dougherty,Stanford University USA,0,94,BS Computer Science,BSED Mathematics,1,,
Sariyah Yu,Harvard University USA,0,83,BS Psychology,BS Criminology,1,,
Kase Silva,Stanford University USA,0,62,BSED Mathematics,BS Computer Science,0,,
Briggs Shea,University of Cambridge UK,0,85,BS Criminology,BS Psychology,0,,
Lillie Fitzgerald,Harvard University USA,0,88,BS Computer Science,BSED Mathematics,0,,
Arya Melton,University of Oxford UK,0,70,BS Psychology,BS Criminology,0,,
Aniya Tapia,Harvard University USA,0,95,BSED Mathematics,BS Computer Science,0,,
Lylah Padilla,Harvard University USA,0,80,BS Criminology,BS Psychology,0,,
Zayne Rush,Stanford University USA,0,65,BS Computer Science,BSED Mathematics,0,,
Sariya Howe,Stanford University USA,0,92,BS Psychology,BS Criminology,0,,
Kaleb Mcdowell,Harvard University USA,0,78,BSED Mathematics,BS Computer Science,0,,
Elianna Velez,Stanford University USA,0,60,BS Criminology,BS Psychology,0,,
Kiera Werner,Massachusetts Institute of Technology (MIT) USA,0,87,BS Computer Science,BSED Mathematics,0,,
Madelynn Yu,Stanford University USA,0,84,BS Psychology,BS Criminology,0,,
Tyree Mathews,Harvard University USA,0,68,BSED Mathematics,BS Computer Science,0,,
Kian Curry,Stanford University USA,0,90,BS Criminology,BS Psychology,0,,
Vienna Park,Stanford University USA,0,79,BS Computer Science,BSED Mathematics,0,,
Kylan Carpenter,Harvard University USA,0,63,BS Psychology,BS Criminology,0,,
Analia Moran,Stanford University USA,0,91,BSED Mathematics,BS Computer Science,0,,
Aryana Hurley,Harvard University USA,0,77,BS Criminology,BS Psychology,0,,
Kameron Baxter,Harvard University USA,0,55,BS Computer Science,BSED Mathematics,0,,
Amina Hampton,University of Oxford UK,0,86,BS Psychology,BS Criminology,0,,
Landry Mcpherson,Harvard University USA,0,82,BSED Mathematics,BS Computer Science,0,,
Sariyah Yu,Harvard University USA,0,59,BS Criminology,BS Psychology,0,,
Graeme Snyder,University of Cambridge UK,0,94,BS Computer Science,BSED Mathematics,1,,
Alaia Mccarty,University of Oxford UK,0,83,BS Psychology,BS Criminology,1,,
Kylan Baxter,Harvard University USA,0,62,BSED Mathematics,BS Computer Science,1,,
Kolby Yu,Harvard University USA,0,60,BS Criminology,BS Psychology,1,,
Kieran Leblanc,Harvard University USA,0,87,BS Computer Science,BSED Mathematics,1,,
Emery Bass,Stanford University USA,0,84,BS Psychology,BS Criminology,1,,
Kamiyah Werner,Stanford University USA,0,68,BSED Mathematics,BS Computer Science,1,,
Naima Kent,Harvard University USA,0,90,BS Criminology,BS Psychology,1,,
Kiera Werner,Stanford University USA,0,79,BS Computer Science,BSED Mathematics,1,,
Kylan Baxter,Harvard University USA,0,63,BS Psychology,BS Criminology,1,,
Charley Shepard,Stanford University USA,0,91,BSED Mathematics,BS Computer Science,1,,
Landen Ritter,Stanford University USA,0,77,BS Criminology,BS Psychology,1,,
Camila Paige,Stanford University USA,0,55,BS Computer Science,BSED Mathematics,1,,
Kylan Baxter,Stanford University USA,0,86,BS Psychology,BS Criminology,1,,
Kian Curry,Harvard University USA,0,82,BSED Mathematics,BS Computer Science,1,,
Emory Dougherty,Stanford University USA,0,59,BS Criminology,BS Psychology,1,,
Arya Melton,University of Oxford UK,0,94,BS Computer Science,BSED Mathematics,1,,
Zariah Moran,Stanford University USA,0,83,BS Psychology,BS Criminology,1,,
Kameron Baxter,Stanford University USA,0,62,BSED Mathematics,BS Computer Science,1,,
Anaya Hoover,Harvard University USA,0,85,BS Criminology,BS Information Technology,1,,
Liana Cherry,Harvard University USA,0,88,BS Computer Science,BS Biology,1,,
Elisa Henson,Harvard University USA,0,70,BS Psychology,BS Accountancy,0,,
Kylan Baxter,Harvard University USA,4,95,BSED Mathematics,BS Civil Engineering,0,,
Kyra Werner,Harvard University USA,5,80,BS Criminology,BS Information Technology,0,,
Kyleigh Yu,Stanford University USA,6,65,BS Computer Science,BS Biology,0,,
Emilee Carrillo,University of Oxford UK,7,92,BS Psychology,BS Accountancy,0,,
Kylan Baxter,Harvard University USA,8,78,BSED Mathematics,BS Civil Engineering,0,,
Kyla Mullins,Harvard University USA,9,60,BS Criminology,BS Information Technology,0,,
Landry Mcpherson,Harvard University USA,10,87,BS Computer Science,BS Biology,0,,
John Doe,Harvard University USA,11,84,BS Psychology,BS Accountancy,0,,
Jane Smith,Stanford University USA,1,68,BSED Mathematics,BS Civil Engineering,0,,
Michael Johnson,Harvard University USA,1,90,BS Criminology,BS Information Technology,0,,
Emily Davis,Harvard University USA,1,79,BS Computer Science,BS Biology,0,,
Robert Anderson,Harvard University USA,1,63,BS Psychology,BS Accountancy,0,,
Sarah White,Stanford University USA,1,91,BSED Mathematics,BS Civil Engineering,0,,
Christopher Lee,Stanford University USA,1,77,BS Criminology,BS Information Technology,0,,
Olivia Taylor,Harvard University USA,1,55,BS Computer Science,BS Biology,0,,
Daniel Brown,Harvard University USA,1,86,BS Psychology,BS Accountancy,0,,
Mia Harris,Stanford University USA,1,82,BSED Mathematics,BS Civil Engineering,0,,
Liam Martin,Stanford University USA,1,59,BS Criminology,BS Information Technology,0,,
Ava Garcia,Massachusetts Institute of Technology (MIT) USA,1,94,BS Computer Science,BS Biology,0,,
Ethan Wilson,Harvard University USA,1,83,BS Psychology,BS Accountancy,0,,
Emma Miller,Stanford University USA,1,62,BSED Mathematics,BS Civil Engineering,0,,
Noah Davis,Stanford University USA,1,85,BS Criminology,BS Information Technology,1,,
Sophia Clark,Harvard University USA,1,97,BS Computer Science,BS Biology,1,,
Logan Turner,Harvard University USA,1,79,BS Psychology,BS Accountancy,1,,
Mia Johnson,Stanford University USA,1,92,BSED Mathematics,BS Civil Engineering,1,,
Aiden Thomas,Harvard University USA,1,78,BS Criminology,BS Information Technology,1,,
Abigail Moore,Harvard University USA,1,60,BS Computer Science,BS Biology,1,,
Jackson Brooks,Harvard University USA,1,87,BS Psychology,BS Accountancy,1,,
Lily Walker,Massachusetts Institute of Technology (MIT) USA,a,84,BSED Mathematics,BS Civil Engineering,0,,
Samuel Hall,Harvard University USA,1,68,BS Criminology,BS Information Technology,0,,
Zoey Adams,Stanford University USA,1,90,BS Computer Science,BS Biology,0,,
Owen Turner,Harvard University USA,1,79,BS Psychology,BS Accountancy,0,,
Grace Taylor,Massachusetts Institute of Technology (MIT) USA,a,63,BSED Mathematics,BS Civil Engineering,0,,
Benjamin Scott,Harvard University USA,1,91,BS Criminology,BS Information Technology,0,,
Harper Baker,Harvard University USA,ADS,77,BS Computer Science,BS Biology,0,,
Oliver Carter,Stanford University USA,1,55,BS Psychology,BS Accountancy,0,,
Natalie King,Harvard University USA,1,86,BSED Mathematics,BS Civil Engineering,0,,
Isaac Ward,Harvard University USA,1,82,BS Criminology,BS Information Technology,0,,
Aria Lopez,Stanford University USA,1,59,BS Computer Science,BS Biology,0,,
James Cooper,Stanford University USA,1,94,BS Psychology,BS Accountancy,0,,
Stella Mitchell,Harvard University USA,1,83,BSED Mathematics,BS Civil Engineering,0,,
Leo Perez,Stanford University USA,1,62,BS Criminology,BS Information Technology,0,,
Hazel Rivera,Harvard University USA,S,85,BS Computer Science,BS Biology,0,,
Elijah Reed,Stanford University USA,1,88,BS Psychology,BS Accountancy,0,,
Penelope Torres,Harvard University USA,1,70,BSED Mathematics,BS Civil Engineering,0,,
Wyatt Morgan,Harvard University USA,1,95,BS Criminology,BS Information Technology,0,,
Addison Price,Stanford University USA,1,80,BS Computer Science,BS Biology,0,,
Grayson Bell,Harvard University USA,1,65,BS Psychology,BS Accountancy,0,,
Paisley Diaz,Harvard University USA,1,92,BSED Mathematics,BS Civil Engineering,0,,
Lincoln Coleman,Massachusetts Institute of Technology (MIT) USA,1,78,BS Criminology,BS Information Technology,0,,
Gabriella Hayes,University of Oxford UK,SD,60,BS Computer Science,BS Biology,1,,
Zane Stewart,Harvard University USA,1,87,BS Psychology,BS Accountancy,1,,
Bella Turner,Harvard University USA,1,84,BSED Mathematics,BS Civil Engineering,1,,
