Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program,Rank,GWA
Kylah Erickson,Harvard University USA,Failed,86,BS Criminology,BS Psychology,,84
Kylan Baxter,Harvard University USA,Failed,88,BSED Mathematics,BS Computer Science,,90
Kylan Carpenter,Harvard University USA,Failed,91,BS Psychology,BS Criminology,,65
Kylan Crosby,University of Oxford UK,Failed,69,BS Computer Science,BSED Mathematics,,92
Kylan Proctor,Harvard University USA,Failed,88,BS Criminology,BS Psychology,,72
Kylan Stafford,Stanford University USA,Failed,88,BSED Mathematics,BS Computer Science,,62
Kyree Hendricks,Stanford University USA,Failed,67,BS Psychology,BS Criminology,,66
Kyrie Potts,University of Oxford UK,Failed,61,BS Psychology,BS Accountancy,,100
Kyson McCall,Harvard University USA,Failed,63,BS Psychology,BS Accountancy,,86
Lachlan Bolton,Imperial College London UK,Failed,90,BS Criminology,BS Information Technology,,73
Landen Ritter,Harvard University USA,Failed,66,BS Computer Science,BS Biology,,97
Landon Davis,Harvard University USA,Passed,65,BS Computer Science,BS Biology,,79
Landry McPherson,Stanford University USA,Failed,64,BSED Mathematics,BS Civil Engineering,,81
Landry Mcpherson,Harvard University USA,Failed,90,BSED Mathematics,BS Computer Science,,85
Lawrence Proctor,Harvard University USA,Failed,62,BS Criminology,BS Information Technology,,89
Layla Garcia,Harvard University USA,Passed,100,BS Accountancy,BS Civil Engineering,,81
Layla Jackson,Harvard University USA,Passed,87,BS Civil Engineering,BS Information Technology,,96
Layla Phillips,Harvard University USA,Passed,91,BS Biology,BS Accountancy,,91
Leighton Foley,University of Oxford UK,Failed,70,BS Criminology,BS Information Technology,,61
Leilani Chambers,Harvard University USA,Failed,74,BSED Mathematics,BS Civil Engineering,,82
Leo Perez,Harvard University USA,Passed,95,BS Psychology,BS Accountancy,,94
Levi Russell,Stanford University USA,Passed,59,BS Criminology,BS Information Technology,,66
Liam Harris,California Institute of Technology (Caltech) USA,Passed,90,BS Psychology,BS Accountancy,,83
Liam Martin,Harvard University USA,Passed,90,BS Biology,BS Accountancy,,87
Liam Taylor,Harvard University USA,Passed,100,BS Accountancy,BS Civil Engineering,,62
Liam Thompson,Harvard University USA,Passed,71,BS Accountancy,BS Civil Engineering,,62
Liana Cherry,Harvard University USA,Failed,88,BS Computer Science,BS Biology,,90
Lilah Andrade,Harvard University USA,Failed,91,BS Psychology,BS Criminology,,75
Lilian McKay,Harvard University USA,Failed,80,BSED Mathematics,BS Computer Science,,94
Lilith Nguyen,Harvard University USA,Failed,77,BSED Mathematics,BS Computer Science,,85
Lillian Maldonado,Stanford University USA,Failed,84,BS Computer Science,BS Biology,,92
Lillianna Ho,University of Oxford UK,Failed,77,BSED Mathematics,BS Computer Science,,83
Lillie Fitzgerald,Harvard University USA,Failed,88,BS Computer Science,BSED Mathematics,,68
Lily Davis,Harvard University USA,Passed,92,BS Information Technology,BS Biology,,97
Lily Miller,Harvard University USA,Passed,74,BS Accountancy,BS Civil Engineering,,96
Lily Walker,Stanford University USA,Passed,82,BS Computer Science,BS Biology,,68
Lina Foley,Harvard University USA,Failed,85,BS Psychology,BS Accountancy,,91
Lincoln Coleman,Harvard University USA,Passed,99,BS Psychology,BS Accountancy,,73
Lincoln Holmes,Harvard University USA,Passed,91,BS Criminology,BS Information Technology,,95
Logan Brown,University of Oxford UK,Passed,48,BS Accountancy,BS Civil Engineering,,64
Logan Clark,Harvard University USA,Passed,83,BS Criminology,BS Information Technology,,94
Logan Davis,Harvard University USA,Passed,60,BS Psychology,BS Accountancy,,95
Logan Martin,Stanford University USA,Passed,68,BS Computer Science,BS Biology,,66
Logan Smith,Stanford University USA,Passed,90,BS Biology,BS Accountancy,,96
Logan Turner,Stanford University USA,Passed,75,BS Biology,BS Accountancy,,98
Lucas Evans,University of Oxford UK,Passed,96,BS Biology,BS Accountancy,,94
Lucas Hayes,Stanford University USA,Passed,30,BS Information Technology,BS Biology,,62
Lucas Johnson,Stanford University USA,Passed,85,BS Civil Engineering,BS Information Technology,,78
Lucas Thompson,University of Oxford UK,Passed,86,BS Computer Science,BS Biology,,89
Lucas Turner,Harvard University USA,Passed,62,BS Computer Science,BS Biology,,92
Luciana Key,Harvard University USA,Failed,78,BS Computer Science,BS Biology,,98
Lucien Mercer,Harvard University USA,Failed,65,BS Criminology,BS Psychology,,65
Lucy Myers,Massachusetts Institute of Technology (MIT) USA,Passed,80,BS Computer Science,BS Biology,,71
Luna Young,Harvard University USA,Passed,53,BSED Mathematics,BS Civil Engineering,,87
Lydia Foster,Harvard University USA,Passed,80,BSED Mathematics,BS Civil Engineering,,87
Lylah Padilla,Harvard University USA,Failed,80,BS Criminology,BS Psychology,,79
Madeleine Yu,Harvard University USA,Failed,59,BSED Mathematics,BS Civil Engineering,,86
Madeline Griffin,Stanford University USA,Passed,70,BS Computer Science,BS Biology,,70
Madelynn Yu,Stanford University USA,Failed,84,BS Psychology,BS Criminology,,90
Madison Davis,Massachusetts Institute of Technology (MIT) USA,Passed,84,BS Information Technology,BS Biology,,87
Madison Harris,Harvard University USA,Passed,30,BS Accountancy,BS Civil Engineering,,93
Madison Lee,Stanford University USA,Passed,97,BS Accountancy,BS Civil Engineering,,77
Magdalena O'Connell,Stanford University USA,Failed,79,BS Computer Science,BSED Mathematics,,64
Maisie Santana,Stanford University USA,Failed,70,BS Computer Science,BSED Mathematics,,73
Maren Ayers,Harvard University USA,Failed,86,BS Computer Science,BSED Mathematics,,76
Margot Davenport,University of Oxford UK,Failed,92,BS Criminology,BS Information Technology,,93
Mariam French,Massachusetts Institute of Technology (MIT) USA,Failed,63,BS Computer Science,BSED Mathematics,,62
Marina Boone,Harvard University USA,Failed,90,BSED Mathematics,BS Civil Engineering,,100
Maritza Duarte,Stanford University USA,Failed,68,BS Computer Science,BS Biology,,74
Marley Acevedo,University of Oxford UK,Failed,55,BSED Mathematics,BS Civil Engineering,,82
Marlowe Tran,University of Cambridge UK,Failed,60,BS Psychology,BS Accountancy,,63
Mason Donovan,Harvard University USA,Passed,65,BS Criminology,BS Information Technology,,86
Mason Turner,Harvard University USA,Passed,81,BS Computer Science,BS Biology,,94
Mateo Perry,Harvard University USA,Passed,0,BS Criminology,BS Information Technology,,92
Matthew Carter,Harvard University USA,Passed,63,BS Criminology,BS Information Technology,,93
Matthew Johnson,Harvard University USA,Passed,92,BS Civil Engineering,BS Information Technology,,81
Matthew Lee,Harvard University USA,Passed,55,BSED Mathematics,BS Civil Engineering,,74
Matthew Lewis,Massachusetts Institute of Technology (MIT) USA,Passed,75,BS Accountancy,BS Civil Engineering,,86
Matthew Miller,Harvard University USA,Passed,57,BS Biology,BS Accountancy,,81
Matthias O'Neill,California Institute of Technology (Caltech) USA,Failed,94,BS Criminology,BS Information Technology,,67
Max Thompson,Harvard University USA,Passed,79,BS Criminology,BS Information Technology,,67
Mckinley Harding,Harvard University USA,Failed,86,BS Psychology,BS Criminology,,92
Meredith Velasquez,Stanford University USA,Failed,86,BS Computer Science,BSED Mathematics,,80
Mia Brown,Stanford University USA,Passed,90,BS Biology,BS Accountancy,,75
Mia Harper,Massachusetts Institute of Technology (MIT) USA,Passed,56,BS Computer Science,BS Biology,,86
Mia Harris,Harvard University USA,Passed,55,BS Information Technology,BS Biology,,64
Mia Hernandez,University of Oxford UK,Passed,92,BS Criminology,BS Information Technology,,70
Mia Johnson,Stanford University USA,Passed,77,BS Information Technology,BS Biology,,65
Mia Martin,Harvard University USA,Passed,68,BS Computer Science,BS Biology,,67
Mia Perez,Harvard University USA,Passed,74,BS Civil Engineering,BS Information Technology,,81
Mia Smith,Stanford University USA,Passed,59,BS Information Technology,BS Biology,,89
Mia Thomas,Harvard University USA,Passed,97,BS Information Technology,BS Biology,,82
Mia Young,Harvard University USA,Passed,77,BS Civil Engineering,BS Information Technology,,70
Michael Evans,Stanford University USA,Passed,63,BS Civil Engineering,BS Information Technology,,89
Michael Harris,California Institute of Technology (Caltech) USA,Passed,82,BS Computer Science,BS Biology,,69
Michael Johnson,Stanford University USA,Passed,65,BS Biology,BS Accountancy,,93
Michael Rodriguez,Stanford University USA,Passed,77,BS Psychology,BS Accountancy,,83
Michael White,Massachusetts Institute of Technology (MIT) USA,Passed,72,BS Civil Engineering,BS Information Technology,,85
Milani Eaton,Massachusetts Institute of Technology (MIT) USA,Failed,85,BSED Mathematics,BS Computer Science,,79
Mira Santiago,Harvard University USA,Failed,91,BS Computer Science,BS Biology,,74
Naima Kent,Harvard University USA,Failed,90,BS Criminology,BS Psychology,,79
Natalie King,Stanford University USA,Passed,59,BS Computer Science,BS Biology,,71
Nathanial Reynolds,Harvard University USA,Passed,62,BS Psychology,BS Accountancy,,98
Neymar Carpenter,Stanford University USA,Failed,62,BS Psychology,BS Criminology,,90
Nicholas Jones,Harvard University USA,Passed,84,BS Biology,BS Accountancy,,86
Nicholas Rodriguez,Harvard University USA,Passed,24,BS Information Technology,BS Biology,,79
Nikolai Pritchard,Stanford University USA,Failed,86,BS Criminology,BS Information Technology,,63
Nikolai Rollins,Massachusetts Institute of Technology (MIT) USA,Failed,91,BS Psychology,BS Criminology,,62
Nixon Bradshaw,Harvard University USA,Failed,86,BS Criminology,BS Information Technology,,83
Noah Davis,Harvard University USA,Passed,0,BS Biology,BS Accountancy,,90
Noah Jenkins,Harvard University USA,Passed,75,BS Civil Engineering,BS Information Technology,,73
Noah Martinez,Harvard University USA,Passed,53,BS Information Technology,BS Biology,,82
Noah Parker,Harvard University USA,Passed,88,BS Information Technology,BS Biology,,78
Noah Scott,University of Oxford UK,Passed,82,BS Computer Science,BS Biology,,93
Noah Wilson,University of Oxford UK,Passed,65,BSED Mathematics,BS Civil Engineering,,77
Noelle Shea,Harvard University USA,Failed,55,BSED Mathematics,BS Civil Engineering,,64
Nolan Turner,Harvard University USA,Passed,63,BS Psychology,BS Accountancy,,60
Nova Cantu,Harvard University USA,Failed,83,BS Computer Science,BS Biology,,63
Nova Ward,Stanford University USA,Passed,51,BS Computer Science,BS Biology,,72
Oliver Carter,Stanford University USA,Passed,55,BS Psychology,BS Accountancy,,89
Oliver Parker,California Institute of Technology (Caltech) USA,Passed,69,BS Civil Engineering,BS Information Technology,,88
Oliver Turner,Harvard University USA,Passed,37,BS Information Technology,BS Biology,,81
Olivia Chang,Stanford University USA,Passed,55,BS Criminology,BS Information Technology,,82
Olivia Richardson,Stanford University USA,Passed,97,BS Civil Engineering,BS Information Technology,,86
Olivia Smith,Harvard University USA,Passed,67,BS Information Technology,BS Biology,,94
Olivia Taylor,Harvard University USA,Passed,88,BS Accountancy,BS Civil Engineering,,74
Olivia Turner,Massachusetts Institute of Technology (MIT) USA,Passed,94,BSED Mathematics,BS Civil Engineering,,63
Olivia White,Harvard University USA,Passed,30,BS Civil Engineering,BS Information Technology,,61
Omari Nicholson,Harvard University USA,Failed,79,BS Criminology,BS Psychology,,77
Orion Escobar,Stanford University USA,Failed,55,BSED Mathematics,BS Civil Engineering,,81
Orlando Valencia,Harvard University USA,Failed,62,BS Psychology,BS Accountancy,,67
Owen Turner,Stanford University USA,Passed,76,BS Criminology,BS Information Technology,,67
Paisley Delgado,Massachusetts Institute of Technology (MIT) USA,Failed,59,BSED Mathematics,BS Civil Engineering,,100
Paisley Diaz,Stanford University USA,Passed,54,BS Computer Science,BS Biology,,64
Penelope Choi,Harvard University USA,Passed,92,BS Computer Science,BS Biology,,71
Penelope Torres,Harvard University USA,Passed,72,BS Computer Science,BS Biology,,73
Perla Hawkins,Harvard University USA,Failed,80,BS Psychology,BS Accountancy,,87
Phoenix Chang,Harvard University USA,Failed,83,BS Criminology,BS Information Technology,,74
Rafaela Bishop,Stanford University USA,Failed,79,BSED Mathematics,BS Civil Engineering,,97
Raina Espinoza,Harvard University USA,Failed,82,BS Computer Science,BS Biology,,85
Ramona Donovan,Harvard University USA,Failed,84,BS Computer Science,BSED Mathematics,,89
Ramonita Deleon,Harvard University USA,Failed,55,BS Criminology,BS Psychology,,72
Raquel Sheppard,Stanford University USA,Failed,95,BS Computer Science,BS Biology,,71
Rayden Haas,Harvard University USA,Failed,91,BS Psychology,BS Criminology,,91
Raylan Levy,Harvard University USA,Failed,88,BS Criminology,BS Psychology,,85
Rayne Ho,University of Oxford UK,Failed,59,BS Criminology,BS Psychology,,68
Reyna Bender,Harvard University USA,Failed,79,BSED Mathematics,BS Civil Engineering,,91
Robert Anderson,Harvard University USA,Passed,0,BS Civil Engineering,BS Information Technology,,91
Roman Sullivan,Harvard University USA,Passed,82,BS Psychology,BS Accountancy,,69
Roselyn Sheppard,Harvard University USA,Failed,78,BS Computer Science,BS Biology,,66
Royce Sheppard,Stanford University USA,Failed,95,BS Psychology,BS Criminology,,71
Rylan Pritchard,Harvard University USA,Failed,68,BS Psychology,BS Accountancy,,92
Saanvi Dawson,Harvard University USA,Failed,77,BSED Mathematics,BS Computer Science,,68
Samuel Hall,Stanford University USA,Passed,89,BS Psychology,BS Accountancy,,86
Samuel Perez,Stanford University USA,Passed,20,BS Biology,BS Accountancy,,64
Samuel Scott,Harvard University USA,Passed,80,BS Biology,BS Accountancy,,99
Sarah White,Stanford University USA,Passed,65,BS Information Technology,BS Biology,,62
Sariya Howe,Stanford University USA,Failed,92,BS Psychology,BS Criminology,,69
Sariyah Yu,Stanford University USA,Failed,83,BS Criminology,BS Information Technology,,60
Sawyer Bailey,Harvard University USA,Passed,58,BS Criminology,BS Information Technology,,87
Sawyer Yu,Stanford University USA,Failed,65,BS Criminology,BS Information Technology,,61
Scarlett Cooper,Stanford University USA,Passed,92,BS Biology,BS Accountancy,,63
Scarlett Foster,Harvard University USA,Passed,82,BSED Mathematics,BS Civil Engineering,,67
Scarlett Lee,Stanford University USA,Passed,85,BS Accountancy,BS Civil Engineering,,85
Serenity Heath,Stanford University USA,Failed,86,BS Computer Science,BS Biology,,65
Sienna Vega,Harvard University USA,Failed,83,BS Computer Science,BS Biology,,96
Silas Flynn,Harvard University USA,Passed,79,BS Criminology,BS Information Technology,,64
Silas Sullivan,Harvard University USA,Passed,76,BS Psychology,BS Accountancy,,95
Sofia Garcia,Harvard University USA,Passed,67,BS Accountancy,BS Civil Engineering,,66
Sofia Lewis,Stanford University USA,Passed,89,BS Information Technology,BS Biology,,95
Sofia Nelson,Stanford University USA,Passed,59,BS Biology,BS Accountancy,,62
Solomon Kerr,Harvard University USA,Failed,55,BS Criminology,BS Information Technology,,74
Sophia Carter,Harvard University USA,Passed,61,BS Accountancy,BS Civil Engineering,,63
Sophia Clark,Harvard University USA,Passed,0,BS Accountancy,BS Civil Engineering,,79
Sophia Gupta,Harvard University USA,Passed,94,BS Criminology,BS Information Technology,,70
Sophia King,Harvard University USA,Passed,94,BS Accountancy,BS Civil Engineering,,94
Sophie Brown,Massachusetts Institute of Technology (MIT) USA,Passed,85,BS Psychology,BS Accountancy,,75
Sophie Holmes,Harvard University USA,Passed,86,BS Criminology,BS Information Technology,,90
Stefan Medina,Harvard University USA,Failed,90,BS Psychology,BS Accountancy,,75
Stella Mitchell,Harvard University USA,Passed,0,BS Computer Science,BS Biology,,61
Stella Moore,Harvard University USA,Passed,85,BSED Mathematics,BS Civil Engineering,,75
Stella Schmidt,Stanford University USA,Passed,88,BSED Mathematics,BS Civil Engineering,,66
Sterling Carlson,Harvard University USA,Failed,90,BS Psychology,BS Accountancy,,82
Summer Floyd,Stanford University USA,Failed,91,BS Computer Science,BS Biology,,85
Thaddeus Donovan,University of Oxford UK,Failed,94,BSED Mathematics,BS Civil Engineering,,61
Trace Haas,Harvard University USA,Failed,86,BS Computer Science,BSED Mathematics,,60
Trenton Townsend,Harvard University USA,Failed,63,BS Criminology,BS Information Technology,,81
Tristan Shepard,Stanford University USA,Passed,55,BS Criminology,BS Information Technology,,96
Tucker Chan,Stanford University USA,Failed,78,BS Psychology,BS Accountancy,,73
Tyree Mathews,Harvard University USA,Failed,68,BSED Mathematics,BS Computer Science,,77
Valentino French,Harvard University USA,Failed,79,BS Criminology,BS Psychology,,95
Veda Moyer,Stanford University USA,Failed,90,BSED Mathematics,BS Computer Science,,95
Vienna Park,Massachusetts Institute of Technology (MIT) USA,Failed,55,BSED Mathematics,BS Civil Engineering,,90
Vincent Barker,Harvard University USA,Passed,87,BS Criminology,BS Information Technology,,84
Violet Nguyen,Stanford University USA,Passed,60,BSED Mathematics,BS Civil Engineering,,80
Wesley Carr,Harvard University USA,Failed,55,BS Criminology,BS Information Technology,,61
William Richardson,California Institute of Technology (Caltech) USA,Passed,66,BS Accountancy,BS Civil Engineering,,79
William Rodriguez,Stanford University USA,Passed,80,BS Accountancy,BS Civil Engineering,,86
William Santos,Harvard University USA,Passed,83,BS Computer Science,BS Biology,,69
William Walker,University of Cambridge UK,Passed,95,BS Information Technology,BS Biology,,63
Wyatt Morgan,Harvard University USA,Passed,61,BS Psychology,BS Accountancy,,60
Xavier Montgomery,Stanford University USA,Passed,63,BS Computer Science,BS Biology,,98
Xavier Roth,Stanford University USA,Passed,79,BS Criminology,BS Information Technology,,82
Yael Levy,Stanford University USA,Failed,77,BS Psychology,BS Accountancy,,92
Yahir Mercer,Harvard University USA,Failed,79,BS Criminology,BS Psychology,,95
Yahya Stuart,Harvard University USA,Failed,65,BS Criminology,BS Psychology,,90
Yoselin Snow,Stanford University USA,Failed,83,BS Computer Science,BSED Mathematics,,79
Zachariah Patel,Stanford University USA,Failed,62,BS Computer Science,BS Biology,,85
Zachary O'Connell,Stanford University USA,Failed,62,BS Psychology,BS Accountancy,,62
Zainab Archer,Harvard University USA,Failed,87,BSED Mathematics,BS Civil Engineering,,81
Zane Stewart,Harvard University USA,Passed,67,BS Criminology,BS Information Technology,,62
Zara Cantrell,Stanford University USA,Failed,62,BS Computer Science,BS Biology,,92
Zariah Moran,Stanford University USA,Failed,83,BS Psychology,BS Criminology,,95
Zavier Pruitt,Stanford University USA,Failed,55,BS Criminology,BS Psychology,,93
Zavier Yu,Massachusetts Institute of Technology (MIT) USA,Failed,68,BSED Mathematics,BS Computer Science,,66
Zayden Donovan,Stanford University USA,Failed,82,BS Psychology,BS Criminology,,82
Zaynab Werner,Harvard University USA,Failed,70,BS Computer Science,BSED Mathematics,,93
Zayne Rush,Stanford University USA,Failed,65,BS Computer Science,BSED Mathematics,,65
Zoe Sullivan,Stanford University USA,Passed,57,BS Psychology,BS Accountancy,,86
Zoey Adams,Stanford University USA,Passed,57,BSED Mathematics,BS Civil Engineering,,71
Zoey Hayes,Harvard University USA,Passed,89,BS Biology,BS Accountancy,,79
Zoey Jenkins,Stanford University USA,Passed,62,BS Information Technology,BS Biology,,65
Zoey Rivera,Stanford University USA,Passed,74,BS Information Technology,BS Biology,,84
Zoey Thompson,Harvard University USA,Passed,80,BS Psychology,BS Accountancy,,94
Zyaire Cantu,Harvard University USA,Failed,55,BS Computer Science,BSED Mathematics,,98
