Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program
Clark Stanton,Stanford University USA,Failed,63.0,BS Criminology,BS Information Technology
Summer Floyd,Stanford University USA,Failed,91.0,BS Computer Science,BS Biology
Elliot Villegas,Harvard University USA,Failed,77.0,BS Psychology,BS Accountancy
Marley Acevedo,University of Oxford UK,Failed,55.0,BSED Mathematics,BS Civil Engineering
Nixon Bradshaw,Harvard University USA,Failed,86.0,BS Criminology,BS Information Technology
Cecilia Ochoa,Massachusetts Institute of Technology (MIT) USA,Failed,82.0,BS Computer Science,BS Biology
Kyrie Potts,University of Oxford UK,Failed,59.0,BS Psychology,BS Accountancy
Francesca Gillespie,Harvard University USA,Failed,94.0,BSED Mathematics,BS Civil Engineering
Lawrence Proctor,Harvard University USA,Failed,83.0,BS Criminology,BS Information Technology
Jocelyn Pacheco,Stanford University USA,Failed,62.0,BS Computer Science,BS Biology
Heath Weiss,Stanford University USA,Failed,85.0,BS Psychology,BS Accountancy
Celeste Hendricks,Stanford University USA,Failed,88.0,BSED Mathematics,BS Civil Engineering
Konnor Dorsey,Stanford University USA,Failed,70.0,BS Criminology,BS Information Technology
Raquel Sheppard,Stanford University USA,Failed,95.0,BS Computer Science,BS Biology
Alessandro Cartwright,Harvard University USA,Failed,80.0,BS Psychology,BS Accountancy
Juno Rangel,Stanford University USA,Failed,65.0,BSED Mathematics,BS Civil Engineering
Carlisle Hendrix,Stanford University USA,Failed,92.0,BS Criminology,BS Information Technology
Roselyn Sheppard,Harvard University USA,Failed,78.0,BS Computer Science,BS Biology
Cullen Dunlap,Harvard University USA,Failed,60.0,BS Psychology,BS Accountancy
Dahlia Ritter,University of Oxford UK,Failed,87.0,BSED Mathematics,BS Civil Engineering
Jedidiah Rasmussen,Stanford University USA,Failed,84.0,BS Criminology,BS Information Technology
Aisha Olsen,Massachusetts Institute of Technology (MIT) USA,Failed,68.0,BS Computer Science,BS Biology
Stefan Medina,Harvard University USA,Failed,90.0,BS Psychology,BS Accountancy
Reyna Bender,Harvard University USA,Failed,79.0,BSED Mathematics,BS Civil Engineering
Trenton Townsend,Harvard University USA,Failed,63.0,BS Criminology,BS Information Technology
Ingrid Huber,Stanford University USA,Failed,91.0,BS Computer Science,BS Biology
Anders Cuevas,Stanford University USA,Failed,77.0,BS Psychology,BS Accountancy
Noelle Shea,Harvard University USA,Failed,55.0,BSED Mathematics,BS Civil Engineering
Emery Cooley,Harvard University USA,Failed,86.0,BS Criminology,BS Information Technology
Kyla Huerta,Harvard University USA,Failed,82.0,BS Computer Science,BS Biology
Declan Donovan,University of Oxford UK,Failed,59.0,BS Psychology,BS Accountancy
Annabelle Huang,Stanford University USA,Failed,94.0,BSED Mathematics,BS Civil Engineering
Phoenix Chang,Harvard University USA,Failed,83.0,BS Criminology,BS Information Technology
Zachariah Patel,Stanford University USA,Failed,62.0,BS Computer Science,BS Biology
Marlowe Tran,University of Cambridge UK,Failed,60.0,BS Psychology,BS Accountancy
Kellan Fitzgerald,Harvard University USA,Failed,87.0,BSED Mathematics,BS Civil Engineering
Eliza Werner,University of Oxford UK,Failed,84.0,BS Criminology,BS Information Technology
Darian Ortiz,Harvard University USA,Failed,68.0,BS Computer Science,BS Biology
Adeline Monroe,Harvard University USA,Failed,90.0,BS Psychology,BS Accountancy
Rafaela Bishop,Stanford University USA,Failed,79.0,BSED Mathematics,BS Civil Engineering
Kian O'Malley,Stanford University USA,Failed,63.0,BS Criminology,BS Information Technology
Mira Santiago,Harvard University USA,Failed,91.0,BS Computer Science,BS Biology
Alaric Jefferson,Stanford University USA,Failed,77.0,BS Psychology,BS Accountancy
Vienna Park,Massachusetts Institute of Technology (MIT) USA,Failed,55.0,BSED Mathematics,BS Civil Engineering
Nikolai Pritchard,Stanford University USA,Failed,86.0,BS Criminology,BS Information Technology
Raina Espinoza,Harvard University USA,Failed,82.0,BS Computer Science,BS Biology
Emmett Bradford,Stanford University USA,Failed,59.0,BS Psychology,BS Accountancy
Gwendolyn Shea,Stanford University USA,Failed,94.0,BSED Mathematics,BS Civil Engineering
Anders Rosales,Harvard University USA,Failed,83.0,BS Criminology,BS Information Technology
Zara Cantrell,Stanford University USA,Failed,62.0,BS Computer Science,BS Biology
Kyson McCall,Harvard University USA,Failed,85.0,BS Psychology,BS Accountancy
Cassandra Zhang,Harvard University USA,Failed,88.0,BSED Mathematics,BS Civil Engineering
Jayleen Huang,University of Oxford UK,Failed,70.0,BS Criminology,BS Information Technology
Bowen Griffin,Harvard University USA,Failed,95.0,BS Computer Science,BS Biology
Perla Hawkins,Harvard University USA,Failed,80.0,BS Psychology,BS Accountancy
Kaison Yu,University of Cambridge UK,Failed,65.0,BSED Mathematics,BS Civil Engineering
Margot Davenport,University of Oxford UK,Failed,92.0,BS Criminology,BS Information Technology
Jett Haas,Harvard University USA,Failed,78.0,BS Computer Science,BS Biology
Ember Hendricks,Harvard University USA,Failed,60.0,BS Psychology,BS Accountancy
Zainab Archer,Harvard University USA,Failed,87.0,BSED Mathematics,BS Civil Engineering
Alessio Valencia,Stanford University USA,Failed,84.0,BS Criminology,BS Information Technology
Maritza Duarte,Stanford University USA,Failed,68.0,BS Computer Science,BS Biology
Sterling Carlson,Harvard University USA,Failed,90.0,BS Psychology,BS Accountancy
Aviana Ho,Stanford University USA,Failed,79.0,BSED Mathematics,BS Civil Engineering
Bodhi O'Donnell,Harvard University USA,Failed,63.0,BS Criminology,BS Information Technology
Elianna Velez,Stanford University USA,Failed,91.0,BS Computer Science,BS Biology
Yael Levy,Stanford University USA,Failed,77.0,BS Psychology,BS Accountancy
Orion Escobar,Stanford University USA,Failed,55.0,BSED Mathematics,BS Civil Engineering
Callie Werner,Stanford University USA,Failed,86.0,BS Criminology,BS Information Technology
Landen Ritter,Harvard University USA,Failed,82.0,BS Computer Science,BS Biology
Amalia Friedman,Stanford University USA,Failed,59.0,BS Psychology,BS Accountancy
Thaddeus Donovan,University of Oxford UK,Failed,94.0,BSED Mathematics,BS Civil Engineering
Sariyah Yu,Stanford University USA,Failed,83.0,BS Criminology,BS Information Technology
Corey Hutchinson,Stanford University USA,Failed,62.0,BS Computer Science,BS Biology
Lina Foley,Harvard University USA,Failed,85.0,BS Psychology,BS Accountancy
Koda McConnell,Harvard University USA,Failed,97.0,BSED Mathematics,BS Civil Engineering
Emberly Frye,Harvard University USA,Failed,79.0,BS Criminology,BS Information Technology
Bruno Boone,Harvard University USA,Failed,92.0,BS Computer Science,BS Biology
Alia Waller,Harvard University USA,Failed,78.0,BS Psychology,BS Accountancy
Landry McPherson,Stanford University USA,Failed,60.0,BSED Mathematics,BS Civil Engineering
Leighton Foley,University of Oxford UK,Failed,87.0,BS Criminology,BS Information Technology
Elinor Melendez,Harvard University USA,Failed,84.0,BS Computer Science,BS Biology
Aryan Serrano,Harvard University USA,Failed,68.0,BS Psychology,BS Criminology
Elyse Rubio,Harvard University USA,Failed,90.0,BSED Mathematics,BS Computer Science
Omari Nicholson,Harvard University USA,Failed,79.0,BS Criminology,BS Psychology
Alaya Lozano,Stanford University USA,Failed,63.0,BS Computer Science,BSED Mathematics
Ephraim Sweeney,Harvard University USA,Failed,91.0,BS Psychology,BS Criminology
Lilith Nguyen,Harvard University USA,Failed,77.0,BSED Mathematics,BS Computer Science
Bronson Mullen,Harvard University USA,Failed,55.0,BS Criminology,BS Psychology
Meredith Velasquez,Stanford University USA,Failed,86.0,BS Computer Science,BSED Mathematics
Zayden Donovan,Stanford University USA,Failed,82.0,BS Psychology,BS Criminology
Annalise Yu,Harvard University USA,Failed,59.0,BSED Mathematics,BS Computer Science
Brett Castillo,Harvard University USA,Failed,94.0,BS Criminology,BS Psychology
Kamryn Gallegos,Stanford University USA,Failed,83.0,BS Computer Science,BSED Mathematics
Neymar Carpenter,Stanford University USA,Failed,62.0,BS Psychology,BS Criminology
Milani Eaton,Massachusetts Institute of Technology (MIT) USA,Failed,85.0,BSED Mathematics,BS Computer Science
Dorian Pineda,Harvard University USA,Failed,88.0,BS Criminology,BS Psychology
Maisie Santana,Stanford University USA,Failed,70.0,BS Computer Science,BSED Mathematics
Royce Sheppard,Stanford University USA,Failed,95.0,BS Psychology,BS Criminology
Aiyana Huber,Harvard University USA,Failed,80.0,BSED Mathematics,BS Computer Science
Lucien Mercer,Harvard University USA,Failed,65.0,BS Criminology,BS Psychology
Kaitlyn O'Connell,Stanford University USA,Failed,92.0,BS Computer Science,BSED Mathematics
Heath Garrison,Harvard University USA,Failed,78.0,BS Psychology,BS Criminology
Amina Werner,Harvard University USA,Failed,60.0,BSED Mathematics,BS Computer Science
Kylan Proctor,Harvard University USA,Failed,87.0,BS Criminology,BS Psychology
Iliana Bartlett,Massachusetts Institute of Technology (MIT) USA,Failed,84.0,BS Computer Science,BSED Mathematics
Davian Stokes,Harvard University USA,Failed,68.0,BS Psychology,BS Criminology
Alessandra Holland,Stanford University USA,Failed,90.0,BSED Mathematics,BS Computer Science
Yahir Mercer,Harvard University USA,Failed,79.0,BS Criminology,BS Psychology
Mariam French,Massachusetts Institute of Technology (MIT) USA,Failed,63.0,BS Computer Science,BSED Mathematics
Rayden Haas,Harvard University USA,Failed,91.0,BS Psychology,BS Criminology
Saanvi Dawson,Harvard University USA,Failed,77.0,BSED Mathematics,BS Computer Science
Zavier Pruitt,Stanford University USA,Failed,55.0,BS Criminology,BS Psychology
Maren Ayers,Harvard University USA,Failed,86.0,BS Computer Science,BSED Mathematics
Alonzo Werner,Harvard University USA,Failed,82.0,BS Psychology,BS Criminology
Aryanna Chang,Stanford University USA,Failed,59.0,BSED Mathematics,BS Computer Science
Kannon Maldonado,Stanford University USA,Failed,94.0,BS Criminology,BS Psychology
Arlette Carpenter,Harvard University USA,Failed,83.0,BS Computer Science,BSED Mathematics
Kyree Hendricks,Stanford University USA,Failed,62.0,BS Psychology,BS Criminology
Daphne Stuart,Harvard University USA,Failed,60.0,BSED Mathematics,BS Computer Science
Boone McDowell,Stanford University USA,Failed,87.0,BS Criminology,BS Psychology
Ramona Donovan,Harvard University USA,Failed,84.0,BS Computer Science,BSED Mathematics
Jadiel Stanton,Harvard University USA,Failed,68.0,BS Psychology,BS Criminology
Veda Moyer,Stanford University USA,Failed,90.0,BSED Mathematics,BS Computer Science
Valentino French,Harvard University USA,Failed,79.0,BS Criminology,BS Psychology
Amayah Werner,Harvard University USA,Failed,63.0,BS Computer Science,BSED Mathematics
Nikolai Rollins,Massachusetts Institute of Technology (MIT) USA,Failed,91.0,BS Psychology,BS Criminology
Lillianna Ho,University of Oxford UK,Failed,77.0,BSED Mathematics,BS Computer Science
Ramonita Deleon,Harvard University USA,Failed,55.0,BS Criminology,BS Psychology
Trace Haas,Harvard University USA,Failed,86.0,BS Computer Science,BSED Mathematics
Amara Rocha,Harvard University USA,Failed,82.0,BS Psychology,BS Criminology
Jovani Wong,Massachusetts Institute of Technology (MIT) USA,Failed,59.0,BSED Mathematics,BS Computer Science
Analia Baxter,Massachusetts Institute of Technology (MIT) USA,Failed,94.0,BS Criminology,BS Psychology
Enoch Zimmerman,Harvard University USA,Failed,83.0,BS Computer Science,BSED Mathematics
Elina Duarte,California Institute of Technology (Caltech) USA,Failed,62.0,BS Psychology,BS Criminology
Karsyn Barrera,Harvard University USA,Failed,85.0,BSED Mathematics,BS Computer Science
Raylan Levy,Harvard University USA,Failed,88.0,BS Criminology,BS Psychology
Zaynab Werner,Harvard University USA,Failed,70.0,BS Computer Science,BSED Mathematics
Gianluca Kent,University of Oxford UK,Failed,95.0,BS Psychology,BS Criminology
Lilian McKay,Harvard University USA,Failed,80.0,BSED Mathematics,BS Computer Science
Yahya Stuart,Harvard University USA,Failed,65.0,BS Criminology,BS Psychology
Emory Buckley,California Institute of Technology (Caltech) USA,Failed,92.0,BS Computer Science,BSED Mathematics
Emilee Carrillo,Imperial College London UK,Failed,78.0,BS Psychology,BS Criminology
Imran Yu,University of Oxford UK,Failed,60.0,BSED Mathematics,BS Computer Science
Anais Esparza,Harvard University USA,Failed,87.0,BS Criminology,BS Psychology
Korbin Werner,Harvard University USA,Failed,84.0,BS Computer Science,BSED Mathematics
Kayley Nixon,Stanford University USA,Failed,68.0,BS Psychology,BS Criminology
Daxton Rosario,Stanford University USA,Failed,90.0,BSED Mathematics,BS Computer Science
Anabella Hensley,Harvard University USA,Failed,79.0,BS Criminology,BS Psychology
Franco Pace,University of Oxford UK,Failed,63.0,BS Computer Science,BSED Mathematics
Lilah Andrade,Harvard University USA,Failed,91.0,BS Psychology,BS Criminology
Kamdyn Werner,Massachusetts Institute of Technology (MIT) USA,Failed,77.0,BSED Mathematics,BS Computer Science
Faye Mathews,University of Oxford UK,Failed,55.0,BS Criminology,BS Psychology
Kolten Hess,Harvard University USA,Failed,86.0,BS Computer Science,BSED Mathematics
Armani Stanton,Harvard University USA,Failed,82.0,BS Psychology,BS Criminology
Emani Hebert,Stanford University USA,Failed,59.0,BSED Mathematics,BS Computer Science
Brice Vang,Stanford University USA,Failed,94.0,BS Criminology,BS Psychology
Yoselin Snow,Stanford University USA,Failed,83.0,BS Computer Science,BSED Mathematics
Bradyn Poole,Stanford University USA,Failed,62.0,BS Psychology,BS Criminology
Jurnee Mckinney,Stanford University USA,Failed,85.0,BSED Mathematics,BS Computer Science
Darian Stanton,Harvard University USA,Failed,97.0,BS Criminology,BS Psychology
Magdalena O'Connell,Stanford University USA,Failed,79.0,BS Computer Science,BSED Mathematics
Alexzander Booth,Stanford University USA,Failed,92.0,BS Psychology,BS Criminology
Ayden Friedman,Harvard University USA,Failed,78.0,BSED Mathematics,BS Computer Science
Cambria Levine,Harvard University USA,Failed,60.0,BS Criminology,BS Psychology
Kylan Crosby,University of Oxford UK,Failed,87.0,BS Computer Science,BSED Mathematics
Brynley Yu,Stanford University USA,Failed,84.0,BS Psychology,BS Criminology
Zavier Yu,Massachusetts Institute of Technology (MIT) USA,Failed,68.0,BSED Mathematics,BS Computer Science
Kylah Erickson,Harvard University USA,Failed,90.0,BS Criminology,BS Psychology
Adalynn Werner,Harvard University USA,Failed,63.0,BS Psychology,BS Criminology
Kylan Stafford,Stanford University USA,Failed,91.0,BSED Mathematics,BS Computer Science
Charleigh Randolph,Stanford University USA,Failed,77.0,BS Criminology,BS Psychology
Zyaire Cantu,Harvard University USA,Failed,55.0,BS Computer Science,BSED Mathematics
Mckinley Harding,Harvard University USA,Failed,86.0,BS Psychology,BS Criminology
Jazmin Mclean,Harvard University USA,Failed,82.0,BSED Mathematics,BS Computer Science
Rayne Ho,University of Oxford UK,Failed,59.0,BS Criminology,BS Psychology
Emory Dougherty,Stanford University USA,Failed,94.0,BS Computer Science,BSED Mathematics
Kase Silva,Stanford University USA,Failed,62.0,BSED Mathematics,BS Computer Science
Briggs Shea,University of Cambridge UK,Failed,85.0,BS Criminology,BS Psychology
Lillie Fitzgerald,Harvard University USA,Failed,88.0,BS Computer Science,BSED Mathematics
Arya Melton,University of Oxford UK,Failed,70.0,BS Psychology,BS Criminology
Aniya Tapia,Harvard University USA,Failed,95.0,BSED Mathematics,BS Computer Science
Lylah Padilla,Harvard University USA,Failed,80.0,BS Criminology,BS Psychology
Zayne Rush,Stanford University USA,Failed,65.0,BS Computer Science,BSED Mathematics
Sariya Howe,Stanford University USA,Failed,92.0,BS Psychology,BS Criminology
Kaleb Mcdowell,Harvard University USA,Failed,78.0,BSED Mathematics,BS Computer Science
Kiera Werner,Massachusetts Institute of Technology (MIT) USA,Failed,87.0,BS Computer Science,BSED Mathematics
Madelynn Yu,Stanford University USA,Failed,84.0,BS Psychology,BS Criminology
Tyree Mathews,Harvard University USA,Failed,68.0,BSED Mathematics,BS Computer Science
Kian Curry,Stanford University USA,Failed,90.0,BS Criminology,BS Psychology
Kylan Carpenter,Harvard University USA,Failed,63.0,BS Psychology,BS Criminology
Analia Moran,Stanford University USA,Failed,91.0,BSED Mathematics,BS Computer Science
Aryana Hurley,Harvard University USA,Failed,77.0,BS Criminology,BS Psychology
Kameron Baxter,Harvard University USA,Failed,55.0,BS Computer Science,BSED Mathematics
Amina Hampton,University of Oxford UK,Failed,86.0,BS Psychology,BS Criminology
Landry Mcpherson,Harvard University USA,Failed,82.0,BSED Mathematics,BS Computer Science
Graeme Snyder,University of Cambridge UK,Failed,94.0,BS Computer Science,BSED Mathematics
Alaia Mccarty,University of Oxford UK,Failed,83.0,BS Psychology,BS Criminology
Kylan Baxter,Harvard University USA,Failed,62.0,BSED Mathematics,BS Computer Science
Kolby Yu,Harvard University USA,Failed,60.0,BS Criminology,BS Psychology
Kieran Leblanc,Harvard University USA,Failed,87.0,BS Computer Science,BSED Mathematics
Emery Bass,Stanford University USA,Failed,84.0,BS Psychology,BS Criminology
Kamiyah Werner,Stanford University USA,Failed,68.0,BSED Mathematics,BS Computer Science
Naima Kent,Harvard University USA,Failed,90.0,BS Criminology,BS Psychology
Charley Shepard,Stanford University USA,Failed,91.0,BSED Mathematics,BS Computer Science
Camila Paige,Stanford University USA,Failed,55.0,BS Computer Science,BSED Mathematics
Zariah Moran,Stanford University USA,Failed,83.0,BS Psychology,BS Criminology
Anaya Hoover,Harvard University USA,Failed,85.0,BS Criminology,BS Information Technology
Liana Cherry,Harvard University USA,Failed,88.0,BS Computer Science,BS Biology
Elisa Henson,Harvard University USA,Failed,70.0,BS Psychology,BS Accountancy
Oliver Carter,Stanford University USA,Passed,55.0,BS Psychology,BS Accountancy
Johnny Sins,Harvard University USA,Passed,65.0,BS Psychology,BS Accountancy
ABC MOORE,Stanford University USA,Passed,100.0,BSED Mathematics,BS Civil Engineering
Hinata Shoyo,Massachusetts Institute of Technology (MIT) USA,Passed,100.0,BS Computer Science,BS Biology
